Reference_Video,Positive_Video,Reference_Length,Positive_Length,Start_Copy
c01_202101300630.mp4,c01_20210130063213.mp4,407,8293,3670
c01_202101300630.mp4,c01_20210131062134.mp4,407,18422,6704
c01_202101300630.mp4,c01_20210202062315.mp4,407,17710,1682
c01_202101300630.mp4,c01_20210203062229.mp4,407,17771,7848
c01_202101300630.mp4,c01_20210204062142.mp4,407,17163,1615
c01_202101300630.mp4,c01_20210205062047.mp4,407,15037,11768
c01_202101300630.mp4,c01_20210206062651.mp4,407,11500,5859
c01_202101300630.mp4,c01_20210207062207.mp4,407,9370,3989
c01_202101300630.mp4,c01_20210208061745.mp4,407,22265,9233
c01_202101300630.mp4,c01_20210209062258.mp4,407,23465,2645
c01_202101300630.mp4,c01_20210211062434.mp4,407,14111,627
c01_202101300630.mp4,c01_20210212062230.mp4,407,12107,3437
c01_202101300810.mp4,c01_20210130081629.mp4,389,8625,4440
c01_202101300810.mp4,c01_20210201082747.mp4,389,15398,5984
c01_202101300810.mp4,c01_20210202083021.mp4,389,14595,2808
c01_202101300810.mp4,c01_20210203082724.mp4,389,12941,4921
c01_202101300810.mp4,c01_20210204082651.mp4,389,8777,871
c01_202101300810.mp4,c01_20210205082645.mp4,389,7938,5160
c01_202101300810.mp4,c01_20210206081417.mp4,389,25802,8498
c01_202101300810.mp4,c01_20210208081743.mp4,389,18543,16910
c01_202101300810.mp4,c01_20210209082624.mp4,389,15671,4021
c01_202101300810.mp4,c01_20210210081914.mp4,389,25024,13915
c01_202101300810.mp4,c01_20210211081838.mp4,389,18841,10887
c01_202101300810.mp4,c01_20210212082357.mp4,389,14586,3219
c01_202101300810.mp4,c01_20210213081058.mp4,389,5508,4258
c01_202101300810.mp4,c01_20210215082051.mp4,389,11115,7332
c01_202101300810.mp4,c01_20210216082645.mp4,389,9616,5084
c01_202101300810.mp4,c01_20210217082447.mp4,389,17322,7481
c01_202101300810.mp4,c01_20210218082402.mp4,389,23907,7133
c01_202101300810.mp4,c01_20210219082030.mp4,389,15461,10971
c01_202101300810.mp4,c01_20210220081813.mp4,389,23218,4805
c01_202101300810.mp4,c01_20210222082445.mp4,389,16183,8530
c01_202101300810.mp4,c01_20210223082742.mp4,389,10064,430
c01_202101300810.mp4,c01_20210225082210.mp4,389,23370,11953
c01_202101300810.mp4,c01_20210226082213.mp4,389,10993,7891
c01_202101301200.mp4,c01_20210130115216.mp4,177,8957,2340
c01_202101301250.mp4,c01_20210130124435.mp4,148,10541,6920
c01_202101301250.mp4,c01_20210130194220.mp4,148,9731,6576
c01_202101301250.mp4,c01_20210131194822.mp4,148,20250,1023
c01_202101301250.mp4,c01_20210201133012.mp4,148,8301,4395
c01_202101301250.mp4,c01_20210202124851.mp4,148,10514,3502
c01_202101301250.mp4,c01_20210204124618.mp4,148,16123,7290
c01_202101301250.mp4,c01_20210205124340.mp4,148,31402,12584
c01_202101301250.mp4,c01_20210206124345.mp4,148,13810,8253
c01_202101301250.mp4,c01_20210206194248.mp4,148,7542,4391
c01_202101301250.mp4,c01_20210207194540.mp4,148,5389,1522
c01_202101301250.mp4,c01_20210208114503.mp4,148,7132,4409
c01_202101301250.mp4,c01_20210208124539.mp4,148,17702,9021
c01_202101301250.mp4,c01_20210209114448.mp4,148,9200,4529
c01_202101301250.mp4,c01_20210209124431.mp4,148,21391,11415
c01_202101301250.mp4,c01_20210210114513.mp4,148,14324,4637
c01_202101301250.mp4,c01_20210210124859.mp4,148,13271,2829
c01_202101301250.mp4,c01_20210211124519.mp4,148,19951,9562
c01_202101301250.mp4,c01_20210212124657.mp4,148,9858,6326
c01_202101301255.mp4,c01_20210130124857.mp4,110,8206,6360
c01_202101301255.mp4,c01_20210130195400.mp4,110,6973,5643
c01_202101301255.mp4,c01_20210130210232.mp4,110,6740,2663
